Date,Close
2015-01-01,100
2015-02-01,101
2015-03-01,102
2015-04-01,103
2015-05-01,104
2015-06-01,105
2015-07-01,106
2015-08-01,107
2015-09-01,108
2015-10-01,109
2015-11-01,110
2015-12-01,111
2016-01-01,112
2016-02-01,113
2016-03-01,114
2016-04-01,115
2016-05-01,116
2016-06-01,117
2016-07-01,118
2016-08-01,119
2016-09-01,120
2016-10-01,121
2016-11-01,122
2016-12-01,123
2017-01-01,124
2017-02-01,125
2017-03-01,126
2017-04-01,127
2017-05-01,128
2017-06-01,129
2017-07-01,130
2017-08-01,131
2017-09-01,132
2017-10-01,133
2017-11-01,134
2017-12-01,135
2018-01-01,136
2018-02-01,137
2018-03-01,138
2018-04-01,139
2018-05-01,140
2018-06-01,141
2018-07-01,142
2018-08-01,143
2018-09-01,144
2018-10-01,145
2018-11-01,146
2018-12-01,147
2019-01-01,148
2019-02-01,149
2019-03-01,150
2019-04-01,151
2019-05-01,152
2019-06-01,153
2019-07-01,154
2019-08-01,155
2019-09-01,156
2019-10-01,157
2019-11-01,158
2019-12-01,159
2020-01-01,160
2020-02-01,161
2020-03-01,162
2020-04-01,163
2020-05-01,164
2020-06-01,165
2020-07-01,166
2020-08-01,167
2020-09-01,168
2020-10-01,169
2020-11-01,170
2020-12-01,171
2021-01-01,172
2021-02-01,173
2021-03-01,174
2021-04-01,175
2021-05-01,176
2021-06-01,177
2021-07-01,178
2021-08-01,179
2021-09-01,180
2021-10-01,181
2021-11-01,182
2021-12-01,183
2022-01-01,184
2022-02-01,185
2022-03-01,186
2022-04-01,187
2022-05-01,188
2022-06-01,189
2022-07-01,190
2022-08-01,191
2022-09-01,192
2022-10-01,193
2022-11-01,194
2022-12-01,195
2023-01-01,196
2023-02-01,197
2023-03-01,198
2023-04-01,199
2023-05-01,200
2023-06-01,201
2023-07-01,202
2023-08-01,203
2023-09-01,204
2023-10-01,205
2023-11-01,206
2023-12-01,207
2024-01-01,208
2024-02-01,209
2024-03-01,210
2024-04-01,211
2024-05-01,212
2024-06-01,213
2024-07-01,214
2024-08-01,215
2024-09-01,216
2024-10-01,217
2024-11-01,218
2024-12-01,219
2025-01-01,220
2025-02-01,221
2025-03-01,222
2025-04-01,223
2025-05-01,224
2025-06-01,225
2025-07-01,226
2025-08-01,227
